12.9.1986  Big Country; Jäähalli, Helsinki [C]
24.11.1999 Maija Vilkkumaa; Vanha [C]
12.12.1999 Big Country, The Alarm 2000; The Forum, London, The United Kingdom [C]
13.12.1999 Big Country, The Alarm 2000; Manchester University, Manchester, The United Kingdom [C]
15.3.2000  Maija Vilkkumaa; Kanneltalo [C]
25.3.2000  Maija Vilkkumaa; Tavastia [C]
7.4.2000   San Marino F1 GP; Imola, Italy (3 days)
14.4.2000  Jonna Tervomaa; Tavastia [C]
6.5.2000   The Nits; Savoy-teatteri [C]
18.5.2000  Wilma; Tavastia [C]
12.6.2000  Helsinki-päivä: Maija Vilkkumaa; Hietalahden tori [C]
7.7.2000   The Corrs; Stadtpark, Hamburg, Germany [C]
15.7.2000  The Corrs; Palacio Vistalegrie, Madrid, Spain [C]
16.7.2000  The Corrs; Plaza de Toros, Murcia, Spain [C]
4.8.2000   Ropecon 2000; Dipoli (3 days)
18.8.2000  Maija Vilkkumaa; Tavastia [C]
31.8.2000  The Corrs; Sporthalle, Hamburg, Germany [C]
21.10.2000 Aknestik; Tavastia [C]
18.11.2000 The Corrs; The Globe, Stockholm, Sweden [C]
22.11.2000 Savage Garden; Hartwall Areena [C]
12.1.2001  The Corrs; The NEC, Birmingham, The United Kingdom [C]
20.2.2001  Reamonn, LAB; Tavastia [C]
23.5.2001  Maija Vilkkumaa; Tavastia [C]
30.5.2001  Emmi; Tavastia [C]
6.6.2001   The Nits; Tavastia [C]
8.7.2001   Ruisrock 2001: Maija Vilkkumaa; Ruissalo, Turku [C]
9.8.2001   Maija Vilkkumaa; Esplanadi [C]
9.8.2001   Maija Vilkkumaa; Kaivohuone [C]
10.8.2001  Ropecon 2001; Dipoli (3 days)
19.9.2001  Depeche Mode; Hartwall Areena [C]
30.9.2001  Jethro Tull; Kulttuuritalo [C]
4.10.2001  Aknestik; On The Rocks [C]
2.11.2001  Jonna Tervomaa; Tavastia [C]
12.11.2001 Roxette; Hartwall Areena [C]
24.11.2001 Maija Vilkkumaa; Tavastia [C]
30.11.2001 Sir Elwoodin hiljaiset värit; Tavastia [C]
4.12.2001  Aknestik; Tavastia [C]
22.12.2001 Jonna Tervomaa; Nosturi [C]
8.2.2002   Maija Vilkkumaa; Nosturi [C]
17.1.2002  Stomp; Kulttuuritalo
24.1.2002  Tiktak; Tavastia [C]
18.2.2002  Lloyd Cole; Tavastia [C]
22.2.2002  Scandinavian Music Group; Tavastia [C]
15.3.2002  HIM; Nosturi [C]
4.4.2002   Jonna Tervomaa; On The Rocks [C]
15.5.2002  Jonna Tervomaa; Tavastia [C]
12.6.2002  Helsinki-päivä: Shakira, Kemopetrol, Tiktak; Kaivopuisto [MC]
29.6.2002  Rollin's Seitti-festivaali: Jaarli Padington, Maija Vilkkumaa; Kaapelitehdas [C]
3.7.2002   Maija Vilkkumaa; On The Rocks [C]
17.7.2002  Jonna Tervomaa; Tapiola Garden [C]
19.7.2002  Tammerfest 2002: HIM, The 69 Eyes; Ratinanniemi, Tampere [C]
26.7.2002  Ropecon 2002; Dipoli (3 days)
2.8.2002   Assembly '02; Hartwall Areena
2.8.2002   Machinae Supremacy; Assembly '02, Hartwall Areena [C]
3.8.2002   Ankkarock 2002: Maija Vilkkumaa, Jonna Tervomaa; Korso [C]
4.8.2002   Ankkarock 2002: Eppu Normaali, Nightwish; Korso [C]
8.8.2002   Neste Rally Finland; Jyväskylän seutu (3 days)
16.8.2002  Nightwish; Tavastia [C]
24.8.2002  Maija Vilkkumaa; Tavastia [C]
25.8.2002  Riverdance - The Show; Hartwall Areena
4.10.2002  Tiktak; Tapiola Garden [C]
9.11.2002  Scandinavian Music Group; Tavastia [C]
13.11.2002 Kemopetrol, LAB; Tavastia [C]
6.12.2002  Lord of the Rings: The Two Towers queueing event; Tennispalatsi
27.12.2002 Jaarli Padington; Semifinal [C]
26.1.2003  Stomp; Kulttuuritalo
7.3.2003   Helvetin käkikello; Alahuone makasiinit [C]
12.3.2003  Scandinavian Music Group; Tavastia [C]
29.3.2003  CC Rider tour 2003 (Elvis); Kerava-sali, Kerava [C]
4.4.2003   Zen Café; Tavastia [C]
10.4.2003  Maija Vilkkumaa; Tavastia [C]
11.4.2003  Maija Vilkkumaa; Tavastia [C]
17.4.2003  Maija Vilkkumaa; YO-talo, Tampere [C]
23.4.2003  Maija Vilkkumaa; Stoa [C]
25.4.2003  Maija Vilkkumaa; Tulisuudelma, Vantaa [C]
30.4.2003  Maija Vilkkumaa; Esplanadi [C]
30.4.2003  Maija Vilkkumaa; Dipoli [C]
2.5.2003   Helvetin käkikello, Muusa; Semifinal [C]
9.5.2003   Scandinavian Music Group; Boom [C]
16.5.2003  Maija Vilkkumaa; Panama, Tampere [C]
17.5.2003  Maailma kylässä -festivaali: Maija Vilkkumaa; Kaisaniemi [C]
18.5.2003  Jonna Tervomaa (trio); On The Rocks [C]
25.5.2003  Kallio Kukkii: Zen Café; Kallio [C]
28.5.2003  Maya Paakkari + Maija Vilkkumaa (sing Janis Joplin); Baker's [C]
29.5.2003  Maija Vilkkumaa; On The Rocks [C]
30.5.2003  Jonna Tervomaa (trio); Jumo Jazz Club [C]
12.6.2003  Helsinki-päivä: Maija Vilkkumaa, Tiktak, Nylon Beat; Kaivopuisto [MC]
3.7.2003   Maija Vilkkumaa; Kaivohuone [C]
4.7.2003   Tiktak; Tapiola Garden [C]
9.7.2003   Basso-soolon SM-kisat: Maija Vilkkumaa; Tavastia [MC]
18.7.2003  Tammerfest: Nylon Beat, Eve; Coloradon terassi, Tampere [C]
19.7.2003  Maija Vilkkumaa; Pakkahuone, Tampere [C]
24.7.2003  Nylon Beat; DTM [C]
30.7.2003  Maija Vilkkumaa; Kaivohuone, Naantali [C]
2.8.2003   Kukkaisrock: Maija Vilkkumaa; Ratinanniemi, Tampere [C]
8.8.2003   Ropecon 2003; Dipoli (3 days)
8.8.2003   Maija Vilkkumaa; Sirkus, Hämeenlinna [C]
14.8.2003  Nylon Beat; Kaivohuone [C]
23.8.2003  Global Balalaika Show; Senaatintori [C]
26.8.2003  Prock-konsertti; Tavastia [C]
6.9.2003   Avaruusseikkailu-konsertti; Finlandia-talo [C]
12.9.2003  Killer; Tavastia [C]
19.9.2003  Nylon Beat; Tapiola Garden [C]
20.9.2003  Tiktak; Copacabana [C]
24.9.2003  Charon; Tavastia [C]
25.9.2003  Per Gessle; Tavastia [C]
10.10.2003 Maija Vilkkumaa; Tavastia [C]
11.10.2003 Maija Vilkkumaa; Tavastia [C]
18.10.2003 Maija Vilkkumaa; Waltikka, Valkeakoski [C]
31.10.2003 Sirkus Finlandia; Kaisaniemen puisto
1.11.2003  Nerdee; Copacabana [C]
11.11.2003 Tiktak; Semifinal [C]
13.11.2003 Cats; Hartwall Areena
13.11.2003 Jonna Tervomaa; Tavastia [C]
15.11.2003 Maija Vilkkumaa; Copacabana [C]
20.11.2003 Jonna Tervomaa; YO-talo, Tampere [C]
21.11.2003 Nerdee (NRJ-kiertue); Panama, Tampere [MC]
3.12.2003  Maija Vilkkumaa; YO-talo, Tampere [C]
5.12.2003  CMX; Tavastia [C]
10.12.2003 Maija Vilkkumaa; Tavastia [C]
12.12.2003 Sir Elwoodin hiljaiset värit; Tavastia [C]
17.12.2003 Tiktak, Negative; Tavastia [C]
26.12.2003 Maija Vilkkumaa; Nosturi [C]
8.1.2004   Helvetin käkikello; Semifinal [C]
9.1.2004   Tiktak; Tulisuudelma [C]
14.1.2004  Nerdee; RT-Partyhouse, Järvenpää [C]
27.2.2004  Nerdee, Tiktak; Tavastia [C]
13.3.2004  Nerdee; Saunabar (30v) [C]
16.3.2004  Shania Twain; Hartwall Areena [C]
20.3.2004  Nerdee; Stockmann One Way [MC]
22.3.2004  Scandinavian Music Group; We Got Beef [C]
25.3.2004  The Nits; Savoy-teatteri [C]
2.4.2004   Maija Vilkkumaa; Tulisuudelma [C]
3.4.2004   Nerdee; Hotelli Foxmanni, Veteli [C]
10.4.2004  Liekki, Hypnomen; Tavastia [C]
15.4.2004  Jonna Tervomaa; Semifinal [C]
16.4.2004  Jaarli Padington; Torvi, Lahti [C]
17.4.2004  Scandinavian Music Group; Tavastia [C]
23.4.2004  Maija Vilkkumaa; Pakkahuone, Tampere [C]
24.4.2004  Nerdee; Ylä-Pirkanmaan Messut, Mänttä (1) [C]
24.4.2004  Nerdee; Ylä-Pirkanmaan Messut, Mänttä (2) [C]
24.4.2004  Scandinavian Music Group, Stella; Lutakko, Jyväskylä [C]
6.5.2004   Maija Vilkkumaa; On The Rocks [C]
8.5.2004   Marillion; Amager Bio, Copenhagen, Denmark [C]
11.5.2004  The Cranes, Viola; Tavastia [C]
12.5.2004  Kemopetrol, Irina; Tavastia [C]
14.5.2004  Jonna Tervomaa; Tavastia [C]
15.5.2004  Jonna Tervomaa; Yano, Järvenpää [C]
19.5.2004  Jonna Tervomaa, Stella; Klubi, Tampere [C]
20.5.2004  Jonna Tervomaa; Klubi, Turku [C]
21.5.2004  Nerdee; Sokeri, Turku [C]
22.5.2004  Tiktak; Maestro [C]
28.5.2004  Maija Vilkkumaa; Tavastia [C]
3.6.2004   Viola; Semifinal [C]
5.6.2004   YleX Pop: Maija Vilkkumaa, Tiktak; Kaisaniemi [C]
10.6.2004  Stella, Minerva; Tavastia [C]
17.6.2004  Paul McCartney; Olympiastadion [C]
20.6.2004  Myötätuulirock: Maija Vilkkumaa, Scandinavian Music Group, Indica; Hakunila [C]
2.7.2004   The Corrs; Schönbrunn, Vienna, Austria [C]
7.7.2004   Basso-soolon SM-kisat: Maija Vilkkumaa; Tavastia [MC]
10.7.2004  Ruisrock 2004: Maija Vilkkumaa, Scandinavian Music Group, Tiktak, Irina, Kemopetrol, Nightwish, The 69 Eyes; Ruissalo, Turku [C]
15.7.2004  Gorgonzola-klubi: Sansa, Riitta Keränen; Semifinal [C]
16.7.2004  Tammerfest: Maija Vilkkumaa; Ratinanniemi, Tampere [C]
17.7.2004  Tammerfest: Irina, Apulanta; Coloradon terassi, Tampere [C]
23.7.2004  Ropecon 2004; Dipoli (3 days)
24.7.2004  Scandinavian Music Group; Tapiola Garden [C]
29.7.2004  Gorgonzola-klubi: Nerdee, The Outdoor Types; Semifinal [C]
30.7.2004  Nerdee; Olutfestivaali, Wanha Villatehdas, Hyvinkää [C]
4.8.2004   Kirkastettu yö: Jonna Tervomaa, Pekka Kuusisto; Tuusulan kirkko, Tuusula [C]
6.8.2004   Maija Vilkkumaa; Seurahuone, Porvoo [C]
11.8.2004  Stella; Esplanadi [C]
16.8.2004  Indica; Semifinal [C]
20.8.2004  Princes of the Universe; Baker's [C]
24.8.2004  Elina Kannosto; Saunabar [C]
24.8.2004  Tekniikan ihmelapset; Baker's [C]
25.8.2004  Jaarli Padington, Jaakko Pesola; Semifinal [C]
26.8.2004  Sansa; Kurkiklubi [C]
26.8.2004  Sibyl Vane; Juttutupa [C]
26.8.2004  Sansa; Kurkiklubi [C]
27.8.2004  Nerdee; Helmi [C]
27.8.2004  Maija Vilkkumaa; Tavastia [C]
28.8.2004  Nerdee; Kirkkonummen koulu [C]
28.8.2004  Maija Vilkkumaa; Tavastia [C]
2.9.2004   Hanna Pakarinen; Tavastia [C]
3.9.2004   Indica, Irina; Nosturi [C]
4.9.2004   Saturday Night Fever; Peacock
10.9.2004  Tekniikan ihmelapset, Kalkutan konepaja; Semifinal [C]
16.9.2004  Henk Hofstede; Semifinal [C]
17.9.2004  Indica (unplugged); Jumbo [MC]
21.9.2004  Sarah Brightman; Hartwall Areena [C]
23.9.2004  Scandinavian Music Group (unplugged); Tavastia [C]
24.9.2004  Scandinavian Music Group (unplugged); Telakka, Tampere [C]
25.9.2004  Minerva; Gloria [C]
30.9.2004  Irina; On The Rocks [C]
2.10.2004  Jonna Tervomaa, Sansa; Nosturi [C]
6.10.2004  Tiktak; Sellosali [C]
8.10.2004  Tiktak; Finlandia-klubi, Sibeliustalo, Lahti [C]
13.10.2004 Kiova; Turkoosi [C]
15.10.2004 Kaija Koo; Seurahovi, Porvoo [C]
16.10.2004 Viola; Gloria [C]
22.10.2004 Musiikki & Media: Indica; Ilves Night Club, Tampere [C]
23.10.2004 Indica, Jerkem; Kanneltalo [C]
28.10.2004 Indica; Stoa [C]
29.10.2004 Jonna Tervomaa; YO-talo, Tampere [C]
3.11.2004  Tiktak; Stockmann One Way [C]
7.11.2004  The Corrs, Myslovitz; M.E.N Arena, Manchester, The United Kingdom [C]
8.11.2004  The Corrs; Wembley Arena, London, The United Kingdom [C]
10.11.2004 Indica; Sirkus, Hämeenlinna [C]
12.11.2004 Jonna Tervomaa; Espoon kulttuurikeskus [C]
12.11.2004 Tiktak; Tavastia [C]
18.11.2004 Nerdee; On The Rocks [C]
24.11.2004 Indica; Hyvinkää-sali, Hyvinkää [C]
24.11.2004 Värttinä; Nosturi [C]
25.11.2004 Sahara Hotnights; Nosturi [C]
26.11.2004 Irina; Bar 54, Forssa [C]
27.11.2004 Jonna Tervomaa; Tavastia [C]
30.11.2004 Indica; Tavastia [C]
8.12.2004  Tiktak; Tavastia [C]
9.12.2004  Kwan, Quintessence; Tavastia [C]
11.12.2004 Bändikoulu Special: Indica, el Niklas, Sakura; Suutarilan palvelutalo [C]
11.12.2004 Kaija Koo; Tapiola Garden [C]
17.12.2004 Happoradio, Rautahammas; Tavastia [C]
18.12.2004 Viola; Semifinal [C]
21.12.2004 Ken Stringfellow, Sansa; Tavastia [C]
26.12.2004 Nightwish, After Forever, Timo Kotipelto; Jäähalli [C]
1.1.2005   Tiktak; Tapiola Garden [C]
6.1.2005   Yhteinen Asia: Maija Vilkkumaa, Jonna Tervomaa, Tiktak, Irina, Ilkka Alanko + Anssi Kela; Tavastia [MC]
7.1.2005   Indica; Hotelli Puijonsarvi, Kuopio (1) [C]
7.1.2005   Indica; Hotelli Puijonsarvi, Kuopio (2) [C]
8.1.2005   Indica; Hotelli Puustelli, Alavus [C]
14.1.2005  Asia-tukikonsertti; On The Rocks [C]
15.1.2005  Sansa; Telakka, Tampere [C]
19.1.2005  Indica; RT-Partyhouse, Järvenpää [C]
21.1.2005  Tiktak; Tulisuudelma [C]
22.1.2005  Bleak; Semifinal [C]
25.1.2005  Sansa, Lähiö; Semifinal [C]
4.2.2005   Indica; Foxia, Oulu [C]
5.2.2005   Indica; Kineva, Nivala [C]
5.2.2005   Indica; Hotelli Puustelli, Nivala [C]
6.2.2005   YAD-konsertti: Indica, Tiktak, Irina, Anssi Kela, Timo Rautiainen; Pakkahuone, Tampere [C]
9.2.2005   Within Temptation; Tavastia [C]
11.2.2005  Indica; Tulisuudelma [C]
16.2.2005  Nerdee; Sirkus, Hämeenlinna [C]
25.2.2005  Irina; Tulisuudelma [C]
26.2.2005  Nerdee; Amarillo, Joensuu [C]
2.3.2005   Zen Café; Free Record Shop Mannerheimintie [C]
5.3.2005   Indica, Jerkem; Nosturi [C]
8.3.2005   Sansa, The Crash; Tavastia [C]
9.3.2005   Sansa; Dubrovnik [C]
9.3.2005   el Niklas; Stella Star Club [C]
11.3.2005  Indica; Eden, Nokia [C]
12.3.2005  Indica; Osmantupa, Eura [C]
17.3.2005  Lauri Tähkä & Elonkerjuu; Tavastia [C]
18.3.2005  Irina; Tavastia [C]
19.3.2005  Irina; Old Texas, Kaarina [C]
25.3.2005  Eppu Normaali; Tavastia [C]
26.3.2005  Eppu Normaali; Hartwall Areena [C]
27.3.2005  Viola, Iconcrash, Varjo; Nosturi [C]
30.3.2005  Zen Café; Sellosali [C]
30.3.2005  Scandinavian Music Group (unplugged); Tavastia [C]
1.4.2005   Indica; Olutfestivaalit, Kaapelitehdas [C]
2.4.2005   Jonna Tervomaa, Tuure Kilpeläinen; Klubi, Tampere [C]
6.4.2005   Indica; Kulttuuritukku, Hämeenlinna [C]
8.4.2005   Jonna Tervomaa, Tuure Kilpeläinen; Seurahovi, Porvoo [C]
9.4.2005   Jonna Tervomaa; Finlandia-klubi, Sibeliustalo, Lahti [C]
13.4.2005  Maija Vilkkumaa; Stockmann [MC]
13.4.2005  Tiktak; RT-Partyhouse, Järvenpää [C]
15.4.2005  Maija Vilkkumaa; Ikaalisten kylpylä, Ikaalinen [C]
16.4.2005  Indica; Club B-52, Ähtäri (1) [C]
16.4.2005  Indica; Club B-52, Ähtäri (2) [C]
19.4.2005  The Johnson; Semifinal [C]
21.4.2005  Sir Elwoodin hiljaiset värit; Tavastia [C]
26.4.2005  Poets of the Fall, Strip Music; Tavastia [C]
28.4.2005  Jonna Tervomaa, Tuure Kilpeläinen; Tavastia [C]
29.4.2005  Nerdee, Maija Vilkkumaa; Pakkahuone, Tampere [C]
4.5.2005   Maija Vilkkumaa; 994-halli, Turku [C]
5.5.2005   Tiktak; On The Rocks [C]
6.5.2005   el Niklas; Vasikkaklubi, Kannusillan väestösuoja [MC]
7.5.2005   Hanna Pakarinen; Bonus-messut, Varuboden-areena, Kirkkonummi [C]
7.5.2005   Apulanta; Tavastia [C]
11.5.2005  Stella, Bilmo; Tavastia [C]
12.5.2005  el Niklas; On The Rocks [C]
13.5.2005  Maija Vilkkumaa; Tavastia [C]
14.5.2005  Maija Vilkkumaa; Tavastia [C]
19.5.2005  LAB; Tavastia [C]
20.5.2005  Tiktak; Tulisuudelma [C]
21.5.2005  Tiktak; Old Texas, Kaarina (1) [C]
21.5.2005  Tiktak; Old Texas, Kaarina (2) [C]
25.5.2005  Sansa; Uniq [C]
27.5.2005  Indica; Tavastia [C]
28.5.2005  Maailma kylässä -festivaali: Jonna Tervomaa, Irina; Kaisaniemi [C]
28.5.2005  Nerdee; Tapiola Garden [C]
29.5.2005  Maailma kylässä -festivaali: Värttinä, Martti Servo & Napander; Kaisaniemi [C]
3.6.2005   Viola; Semifinal [C]
5.6.2005   Nerdee, Maija Vilkkumaa; Montturock, Tuusula [C]
6.6.2005   Katariina Hänninen; Semifinal [C]
9.6.2005   Jonna Tervomaa, Ultramariini; Hetkessä Häme, Senaatintori [C]
9.6.2005   Tiktak; Onnela [C]
15.6.2005  Indica; Cumulus, Lahti [C]
16.6.2005  Maija Vilkkumaa; On The Rocks [C]
18.6.2005  Nerdee, Sadetanssi, Olga; Vilmufest, Viiala [C]
20.6.2005  Avril Lavigne, Poets of the Fall, Melody Club, Simple Plan; Jäähalli [C]
21.6.2005  YK:n huumeidenvastainen päivä: Nerdee; Rautatientori [C]
24.6.2005  RMJ 2005: Tiktak, Jonna Tervomaa, Lauri Tähkä & Elonkerjuu, Poets of the Fall, Apulanta, Liekki; Rauma [C]
25.6.2005  RMJ 2005: Maija Vilkkumaa, Irina, Happoradio, Ismo Alanko säätiö, Egotrippi, Jani Wickholm; Rauma [C]
1.7.2005   Tiktak; Tapiola Garden [C]
4.7.2005   Indica; Linnanmäki [C]
10.7.2005  Ruisrock 2005: Within Temptation, Indica, Tiktak, Maija Vilkkumaa, Jonna Tervomaa, The Ark, Apulanta; Ruissalo, Turku [C]
11.7.2005  Aitoon kirkastusjuhlat: Indica; Luopioinen [C]
14.7.2005  Tiktak; Kaivohuone [C]
16.7.2005  Viola, Heidi Holmavuo; Tammerfest, Tampere [C]
21.7.2005  Maija Vilkkumaa; Kaivohuone [C]
22.7.2005  Ropecon 2005; Dipoli (3 days)
28.7.2005  Jonna Tervomaa; On The Rocks [C]
29.7.2005  Mustan pitsin yö: Nerdee, Euforia; Keskuspuisto, Rauma [C]
29.7.2005  Kaija Koo; Aquarius, Uusikaupunki [C]
30.7.2005  Kukkaisrock 2005: Jonna Tervomaa, Lauri Tähkä & Elonkerjuu, Teräsbetoni; Ratinanniemi, Tampere [C]
30.7.2005  Irina, Muusa; Työväen musiikkitapahtuma, Valkeakoski [C]
31.7.2005  Indica; Tuuloksen maaseutumarkkinat, Tuulos [C]
31.7.2005  Kukkaisrock 2005: Maija Vilkkumaa, Uniklubi, Smak; Ratinanniemi, Tampere [C]
4.8.2005   Indica, Remu and the Hurriganes; Holjat, Forssa [C]
5.8.2005   Jonna Tervomaa, Uriah Heep; Holjat, Forssa [C]
6.8.2005   Hakkapeliittapäivät 2005; Tammela
7.8.2005   Ankkarock 2005: Within Temptation, Jonna Tervomaa, Nightwish; Korso [C]
11.8.2005  Irina; DTM [C]
12.8.2005  Indica; Night Club Galaxi [C]
14.8.2005  Kallio on Rock 2005: Tiktak; Väinö Tannerin kenttä, Kallio [C]
19.8.2005  Tyräjyrä; Soopeli [C]
20.8.2005  Ylis'festarit: Indica, Kirka; Ylinen [C]
20.8.2005  Indica; Hotelli Puustelli, Alavus [C]
22.8.2005  Binary Boyz (feat. Sansa & M.Heavenly); Teatteri [C]
23.8.2005  Luca Gargano (sings Lucio Battisti); Wellamo [C]
24.8.2005  Astrid Swan; Teatteri [C]
26.8.2005  Adiemus-laulajat; Cafe Engel [C]
26.8.2005  Lähiö; Baker's [C]
27.8.2005  Within Temptation, The Rasmus; Kaisaniemi [MC]
31.8.2005  Star Wreck on Wings: Poets of the Fall; Tavastia [C]
1.9.2005   PMMP; On The Rocks [C]
5.9.2005   Angelit; Kom-ravintola [C]
9.9.2005   el Niklas; Tivoli [C]
10.9.2005  Maija Vilkkumaa; Tapiola Garden [C]
14.9.2005  Indica; DTM [C]
15.9.2005  Jukka Takalo; On The Rocks [C]
16.9.2005  Indica; Kirjapäivät, Vammala [C]
17.9.2005  el Niklas; Avion [C]
20.9.2005  Sentenced; Tavastia [C]
23.9.2005  Maija Vilkkumaa; Bar 54, Forssa [C]
28.9.2005  Sansa, Louna; Semifinal [C]
29.9.2005  Nerdee; Doris, Lappeenranta [C]
1.10.2005  Carmen Gray; Kanneltalo [C]
4.10.2005  Indica Vuorien taa -videon kuvaus; Nosturi
5.10.2005  Maija Vilkkumaa; Sirkus, Hämeenlinna [C]
6.10.2005  Maija Vilkkumaa; Kaivohuone [C]
7.10.2005  Jukka Takalo, Ville Leinonen & Valumo; Klubi, Tampere [C]
11.10.2005 Mew, Blue Foundation; Tavastia [C]
13.10.2005 Muusa, Fillip; Semifinal [C]
13.10.2005 Hanna Pakarinen; Tavastia [MC]
14.10.2005 Tiktak; Seurahovi, Porvoo (1) [C]
14.10.2005 Tiktak; Seurahovi, Porvoo (2) [C]
15.10.2005 Maija Vilkkumaa; Amarillo, Hyvinkää [C]
19.10.2005 Indica, Sakura, Suddenly Loud; Stoa [C]
21.10.2005 Nightwish, Sonata Arctica; Hartwall Areena [C]
22.10.2005 Maija Vilkkumaa; Nosturi [C]
26.10.2005 Indica; Dubrovnik [C]
27.10.2005 Apulanta; Tapiolasali, Espoon kulttuurikeskus [C]
27.10.2005 Lullacry; On The Rocks [C]
28.10.2005 Indica (akustinen); Stockmann [MC]
29.10.2005 Iconcrash; Oranssi [C]
4.11.2005  Kaija Koo; Tapiola Garden [C]
5.11.2005  Tiktak; Kultainan Kukko, Kankaanpää [C]
11.11.2005 el Niklas; Wäiski [C]
11.11.2005 Irina; Nevada, Porvoo [C]
16.11.2005 Jaarli Padington, Kerho; On The Rocks [C]
18.11.2005 Indica; Tapiola Garden [C]
19.11.2005 Indica; Old Texas, Kaarina [C]
21.11.2005 Tiktak; Semifinal [C]
21.11.2005 The Posies, The Latebirds; Tavastia [C]
22.11.2005 Ivalo; Semifinal [C]
23.11.2005 Indica; Hyvinkää-sali, Hyvinkää [C]
26.11.2005 The Nits; Pakkahuone, Tampere [C]
27.11.2005 The Nits; Savoy-teatteri [C]
28.11.2005 Hanna Pakarinen; On The Rocks [C]
30.11.2005 Irina; Yano, Järvenpää [C]
1.12.2005  Indica; On The Rocks [C]
2.12.2005  Maija Vilkkumaa; Tavastia [C]
3.12.2005  Maija Vilkkumaa; Tavastia [C]
5.12.2005  Viola, Iconcrash; Vastavirta-klubi, Tampere [C]
7.12.2005  PMMP; Tavastia [C]
9.12.2005  Irina, Laura Bono; Kulttuuritalo [C]
9.12.2005  Irina; Tulisuudelma [C]
10.12.2005 Irina; Tapiola Garden [C]
12.12.2005 The Ark; Tavastia [C]
13.12.2005 Indica; Uusi Kiss studio [MC]
13.12.2005 Vasama, Noidankehä; On The Rocks [C]
14.12.2005 Irina; Tavastia [C]
16.12.2005 Tiktak; Klubi, Hyvinkää [C]
17.12.2005 Indica; Kultainen Kukko, Kankaanpää [C]
30.12.2005 Indica; Seurahovi, Porvoo [C]
3.1.2006   Muusa, Aino, Inka; On The Rocks [C]
4.1.2006   Viola; Yano, Järvenpää [MC]
5.1.2006   Hanna Pakarinen; DTM [C]
7.1.2006   Tarja Rock: Indica, Carmen Gray, Timo Rautiainen + Jarkko Martikainen; Pakkahuone, Tampere [C]
11.1.2006  Indica; Tavastia [C]
13.1.2006  Indica; Tulisuudelma [C]
14.1.2006  Kaija Koo; Awalon [C]
19.1.2006  Stomp; Kulttuuritalo
20.1.2006  Tiktak; Wanha Kino, Kerava [C]
